English Term,Vietnamese Translation
Position,Vị trí
Velocity,Vận tốc
Speed,Tốc độ
Acceleration,Gia tốc
Force,Lực
Mass,Khối lượng
Weight,Trọng lượng
Gravity,Trọng lực
Gravitational Force,Trọng lực
Friction,Ma sát
Slope,Hệ số góc
Displacement,Độ dịch chuyển
Distance,Quãng đường
Time,Thời gian
Motion,Chuyển động
Uniform motion,Chuyển động đều
Non-uniform motion,Chuyển động không đều
Free fall,Rơi tự do
Graph,Đồ thị
Gravitational acceleration,Gia tốc trọng trường
Horizontal,Ngang
Vertical,Dọc
Inclined plane,Mặt phẳng nghiêng
Newton's first law,Định luật I Newton
Newton's second law,Định luật II Newton
Newton's third law,Định luật III Newton
Trajectory,Quỹ đạo
Initial velocity,Vận tốc ban đầu
Final velocity,Vận tốc cuối
Average velocity,Vận tốc trung bình
Instantaneous velocity,Vận tốc tức thời
Initial position,Vị trí ban đầu
Final position,Vị trí cuối
Distance traveled,Quãng đường đi được
Relative motion,Chuyển động tương đối
Impulse,Xung lực
Momentum,Động lượng
Conservation of momentum,Bảo toàn động lượng
Conservation of energy,Bảo toàn năng lượng
Work,Công
Energy,Năng lượng
Kinetic energy,Động năng
Gravitational energy,Thế năng trọng trường
Elastic energy,Thế năng đàn hồi
Power,Công suất
Torque,Moment lực
Equilibrium,Cân bằng
Normal force,Lực pháp tuyến
Tension,Lực căng
Elastic force,Lực đàn hồi
Spring constant,Hệ số lò xo
Hooke's law,Định luật Hooke
Pendulum,Con lắc
Integral,Nguyên hàm
Derivative,Đạo hàm 
Free body diagram,Sơ đồ lực
